month;value
1941-11;23.956
1941-12;82.006
1942-01;107.887
1942-02;121.593
1942-03;58.673
1942-04;37.180
1942-05;36.755
1942-06;61.702
1942-07;114.089
1942-08;115.221
1942-09;137.393
1942-10;67.932
1942-11;37.180
1942-12;58.701
1943-01;72.095
1943-02;66.545
1943-03;38.228
1943-04;38.653
1943-05;34.547
1943-06;52.216
1943-07;169.845
1943-08;76.710
1943-09;135.779
1943-10;77.985
1943-11;42.419
1943-12;33.810
1944-01;35.113
1944-02;42.730
1944-03;24.806
1944-04;22.399
1944-05;26.929
1944-06;31.970
1944-07;60.541
1944-08;79.457
1944-09;95.116
1944-10;33.357
1944-11;21.804
1944-12;31.630
1945-01;26.250
1945-02;38.284
1945-03;24.664
1945-04;20.586
1945-05;20.275
1945-06;96.221
1945-07;111.200
1945-08;60.202
1945-09;99.817
1945-10;34.745
1945-11;25.060
1945-12;34.150
1946-01;29.761
1946-02;77.815
1946-03;35.708
1946-04;53.944
1946-05;33.046
1946-06;149.088
1946-07;71.812
1946-08;50.885
1946-09;78.523
1946-10;57.483
1946-11;23.758
1946-12;23.928
1947-01;24.381
1947-02;45.335
1947-03;26.221
1947-04;24.522
1947-05;22.370
1947-06;44.033
1947-07;111.880
1947-08;74.105
1947-09;62.863
1947-10;27.014
1947-11;24.919
1947-12;25.089
1948-01;25.598
1948-02;36.954
1948-03;23.446
1948-04;20.898
1948-05;18.944
1948-06;65.072
1948-07;84.498
1948-08;55.190
1948-09;25.910
1948-10;26.250
1948-11;20.445
1948-12;16.792
1949-01;15.093
1949-02;28.458
1949-03;23.899
1949-04;22.285
1949-05;20.813
1949-06;47.516
1949-07;86.593
1949-08;42.305
1949-09;22.569
1949-10;33.640
1949-11;23.956
1949-12;19.142
1950-01;20.671
1950-02;24.579
1950-03;24.522
1950-04;21.209
1950-05;16.905
1950-06;47.431
1950-07;135.779
1950-08;88.858
1950-09;36.670
1950-10;31.375
1950-11;26.363
1950-12;24.154
1951-01;22.597
1951-02;21.577
1951-03;20.445
1951-04;20.388
1951-05;19.709
1951-06;29.138
1951-07;201.021
1951-08;79.174
1951-09;47.629
1951-10;50.942
1951-11;32.310
1951-12;37.293
1952-01;61.759
1952-02;62.637
1952-03;48.648
1952-04;30.780
1952-05;28.855
1952-06;38.766
1952-07;210.762
1952-08;60.315
1952-09;43.268
1952-10;72.350
1952-11;36.557
1952-12;23.531
1953-01;20.048
1953-02;22.116
1953-03;24.154
1953-04;21.323
1953-05;15.801
1953-06;91.095
1953-07;129.125
1953-08;70.877
1953-09;32.791
1953-10;34.207
1953-11;44.656
1953-12;19.765
1954-01;18.717
1954-02;19.510
1954-03;23.730
1954-04;17.896
1954-05;21.323
1954-06;33.839
1954-07;60.400
1954-08;76.880
1954-09;62.948
1954-10;37.831
1954-11;22.031
1954-12;34.518
1955-01;80.165
1955-02;43.127
1955-03;30.724
1955-04;23.673
1955-05;21.238
1955-06;49.809
1955-07;132.636
1955-08;52.783
1955-09;47.997
1955-10;21.776
1955-11;21.493
1955-12;16.849
1956-01;21.209
1956-02;27.099
1956-03;21.351
1956-04;19.227
1956-05;18.802
1956-06;20.190
1956-07;126.803
1956-08;58.248
1956-09;35.566
1956-10;46.666
1956-11;31.262
1956-12;23.645
1957-01;19.595
1957-02;24.098
1957-03;21.832
1957-04;18.378
1957-05;17.726
1957-06;27.184
1957-07;56.945
1957-08;59.409
1957-09;36.416
1957-10;19.340
1957-11;14.442
1957-12;26.731
1958-01;21.493
1958-02;35.764
1958-03;26.675
1958-04;20.841
1958-05;21.323
1958-06;38.426
1958-07;69.631
1958-08;41.541
1958-09;26.080
1958-10;31.970
1958-11;16.282
1958-12;29.025
1959-01;26.533
1959-02;29.251
1959-03;20.133
1959-04;14.810
1959-05;15.489
1959-06;24.862
1959-07;131.645
1959-08;67.960
1959-09;33.584
1959-10;25.400
1959-11;25.853
1959-12;36.585
1960-01;65.384
1960-02;73.879
1960-03;45.760
1960-04;60.853
1960-05;31.347
1960-06;30.696
1960-07;133.089
1960-08;211.017
1960-09;76.002
1960-10;48.394
1960-11;45.109
1960-12;53.830
